ID,Name,Age,Region,Num_Departure,Profile
1,XPOoyu,05,Bedok,01,wVohaXerSKafgUFUwkCVsBMJQhAaKhkPVuGVVzhgFgQMSkunXYCaVgUeM
2,UIQOvlAf,05,Bedok,02,FhPDKoAhyqJQLMEmOmcCIwhHvMVYyAvbPkDPVAOQXJJXEsHeShAgwggwskACXuvVihdkJABSLQijfdfnfSaIkensHnROVGsWWHDJHCBPsyliqdPHaDUmhRkXfnlFHVVsOHkPwzhaV
3,dzRdC,05,Bedok,01,ZviGkZHJdAXkRoraVZgVEkAFOfPLFyrlhRsLizBUcGfqPHfJgYdlwoknfhQOeArHYnAhlELkARIKsuCEJyznSfGgCIGhWWcJfCowZbYAhHPFkaBXowwfLgkWoCdjuIkEBEaYDuhvQwk
4,kWSygi,05,Bedok,01,CifefLOUXcFiRLSrrgXizkCzRbgqmaFjRXiokjzcfnOirGvuLCrwnIbKKkgjcODgQeiyuyHkSoWBEFnWUySGDDsEQwwnzjJwYnLaCr
5,BXKBhFfIee,05,Jurong_West,04,iMqSBvkkoOvDIHhbQHbfajksXHmXADamqjsMKAMvOWnvqJUnYfYhMLaOsdaLXvMudiuCDkJ
6,HhlSr,05,Jurong_West,100,KIkqBjzMmIlcSzAhMzwZcawXUYiyyjkaqcOriOSSWPglEdvmUvcRFhlHLYrQlbUaSGUMnFLjkneUOORaKgkeCzkFgkVhVEVlJrQUmQPbmjnCDLlAVFvlGLSvAJvvSrliOSUBWAEsoVFQLVFPyFRXnn
7,nMFZBJziV,05,Jurong_West,21,mZJaXivzgAEkovIPdoXIAkiVFgchLEqgeXSPeyXBSgzyAkufOoQZCskFbKk
8,nGUMUgcvwL,05,Jurong_West,35,DBLviSgSLggXdOLLViAYzUbXbGiduGDjEadUEdnlnhlLFaFFHVuDhSSYCPUkiFlIGZGviDevFE
9,sJsgAJcqv,05,Tampines,01,FzojuXWeOFqXaLgVGHydScGYfIVmKaGsEkyAwzCvHJSMwiOjQUmPoHFrRvonBamkGnnHwjbfQXSnVu
10,GSoSwLZn,05,Tampines,01,KLQzbdksSWUYCERqWXlSPSjsWKcCeVOyaXRZSqSEYdYSPFFzLWdiruPsbMSKLPFcAFwklgXfASb
